zcta,ZIPName,ZCTA_pop,afact
ZIP census tabulation area,ZIP Code name,Total population (2020 Census),zcta-to-zcta allocation factor
43537,"Maumee, OH",29075,1
43540,"Metamora, OH",1459,1
43541,"Milton Center, OH",137,1
43542,"Monclova, OH",4443,1
43543,"Montpelier, OH",7364,1
43545,"Napoleon, OH",13954,1
43547,"Neapolis, OH",370,1
43548,"New Bavaria, OH",721,1
43549,"Ney, OH",1359,1
43551,"Perrysburg, OH",43235,1
43553,"Pettisville, OH",330,1
43554,"Pioneer, OH",2413,1
43555,"Ridgeville Corners, OH",333,1
43556,"Sherwood, OH",1762,1
43557,"Stryker, OH",3161,1
43558,"Swanton, OH",13088,1
43560,"Sylvania, OH",34204,1
43565,"Tontogany, OH",349,1
43566,"Waterville, OH",8371,1
43567,"Wauseon, OH",13240,1
43569,"Weston, OH",2628,1
43570,"West Unity, OH",3152,1
43571,"Whitehouse, OH",7753,1
43604,"Toledo, OH",9248,1
43605,"Toledo, OH",25007,1
43606,"Toledo, OH",25671,1
43607,"Toledo, OH",20494,1
43608,"Toledo, OH",12948,1
43609,"Toledo, OH",20519,1
43610,"Toledo, OH",4159,1
43611,"Toledo, OH",18505,1
43612,"Toledo, OH",29718,1
43613,"Toledo, OH",32116,1
43614,"Toledo, OH",29866,1
43615,"Toledo, OH",39449,1
43616,"Oregon, OH",20480,1
43617,"Toledo, OH",7659,1
43619,"Northwood, OH",7454,1
43620,"Toledo, OH",5019,1
43623,"Toledo, OH",20320,1
43701,"Zanesville, OH",55361,1
43711,"Ava, OH (PO Boxes)",87,1
43713,"Barnesville, OH",7227,1
43716,"Beallsville, OH",1806,1
43717,"Belle Valley, OH",156,1
43718,"Belmont, OH",3049,1
43719,"Bethesda, OH",2319,1
43720,"Blue Rock, OH",1304,1
43721,"Brownsville, OH",140,1
43722,"Buffalo, OH",324,1
43723,"Byesville, OH",4671,1
43724,"Caldwell, OH",8865,1
43725,"Cambridge, OH",19520,1
43727,"Chandlersville, OH",1517,1
43728,"Chesterhill, OH",1072,1
43730,"Corning, OH",2277,1
43731,"Crooksville, OH",5200,1
43732,"Cumberland, OH",1648,1
43733,"Derwent, OH (PO Boxes)",57,1
43734,"Duncan Falls, OH",1212,1
43735,"East Fultonham, OH",382,1
43736,"Fairview, OH",19,1
43738,"Fultonham, OH",73,1
43739,"Glenford, OH",2380,1
43740,"Gratiot, OH",220,1
43746,"Hopewell, OH",1261,1
43747,"Jerusalem, OH",1229,1
43748,"Junction City, OH",2711,1
43749,"Kimbolton, OH",2308,1
43750,"Kipling, OH",145,1
43754,"Lewisville, OH",1318,1
43755,"Lore City, OH",1732,1
43756,"Mcconnelsville, OH",4909,1
43758,"Malta, OH",3000,1
43759,"Morristown, OH",235,1
43760,"Mount Perry, OH",1949,1
43761,"Moxahala, OH (PO Boxes)",54,1
43762,"New Concord, OH",5346,1
43764,"New Lexington, OH",8177,1
43766,"New Straitsville, OH",1492,1
43767,"Norwich, OH",1425,1
43768,"Old Washington, OH",223,1
43771,"Philo, OH",1796,1
43772,"Pleasant City, OH",1811,1
43773,"Quaker City, OH",2964,1
43777,"Roseville, OH",4568,1
43778,"Salesville, OH",1428,1
43779,"Sarahsville, OH",888,1
43780,"Senecaville, OH",2235,1
43782,"Shawnee, OH",727,1
43783,"Somerset, OH",4743,1
43786,"Stafford, OH",56,1
43787,"Stockport, OH",2815,1
43788,"Summerfield, OH",816,1
43791,"White Cottage, OH (PO Boxes)",133,1
43793,"Woodsfield, OH",4829,1
43802,"Adamsville, OH",1334,1
43804,"Baltic, OH",4045,1
43805,"Blissfield, OH (PO Boxes)",66,1
43811,"Conesville, OH",763,1
43812,"Coshocton, OH",18669,1
43821,"Dresden, OH",4557,1
43822,"Frazeysburg, OH",4668,1
43824,"Fresno, OH",3991,1
43830,"Nashport, OH",6593,1
43832,"Newcomerstown, OH",7341,1
43836,"Plainfield, OH",107,1
43837,"Port Washington, OH",1784,1
43840,"Stone Creek, OH",1279,1
43842,"Trinway, OH",345,1
43843,"Walhonding, OH",1449,1
43844,"Warsaw, OH",3778,1
43845,"West Lafayette, OH",4803,1
43901,"Adena, OH",2082,1
43902,"Alledonia, OH",200,1
43903,"Amsterdam, OH",1937,1
43905,"Barton, OH (PO Boxes)",474,1
43906,"Bellaire, OH",7952,1
43907,"Cadiz, OH",5369,1
43908,"Bergholz, OH",1321,1
43909,"Blaine, OH (PO Boxes)",78,1
43910,"Bloomingdale, OH",3379,1
43912,"Bridgeport, OH",6060,1
43913,"Brilliant, OH",1322,1
43914,"Cameron, OH (PO Boxes)",66,1
43915,"Clarington, OH",1383,1
43917,"Dillonvale, OH",2647,1
43920,"East Liverpool, OH",21662,1
43925,"East Springfield, OH (PO Boxes)",119,1
43926,"Empire, OH",247,1
43928,"Glencoe, OH",235,1
43930,"Hammondsville, OH",681,1
43931,"Hannibal, OH",168,1
43932,"Irondale, OH",970,1
43933,"Jacobsburg, OH",1969,1
43934,"Lansing, OH",227,1
43935,"Martins Ferry, OH",7968,1
43938,"Mingo Junction, OH",5196,1
43939,"Mount Pleasant, OH",436,1
43940,"Neffs, OH",321,1
43942,"Powhatan Point, OH",2271,1
43943,"Rayland, OH",3452,1
43944,"Richmond, OH",2328,1
43945,"Salineville, OH",2972,1
43946,"Sardis, OH",1836,1
43947,"Shadyside, OH",5002,1
43948,"Smithfield, OH",514,1
43950,"Saint Clairsville, OH",16212,1
43951,"Lafferty, OH",169,1
43952,"Steubenville, OH",17977,1
43953,"Steubenville, OH",11637,1
43961,"Stratton, OH",234,1
43962,"Summitville, OH",66,1
43963,"Tiltonsville, OH",1249,1
43964,"Toronto, OH",9098,1
43967,"Warnock, OH (PO Boxes)",37,1
43968,"Wellsville, OH",6546,1
43971,"Yorkville, OH",1033,1
43972,"Bannock, OH",93,1
43973,"Freeport, OH",1947,1
43974,"Harrisville, OH",99,1
43976,"Hopedale, OH",1543,1
43977,"Flushing, OH",2178,1
43981,"New Athens, OH (PO Boxes)",176,1
43983,"Piedmont, OH",436,1
43985,"Holloway, OH",270,1
43986,"Jewett, OH",1728,1
43988,"Scio, OH",2351,1
44001,"Amherst, OH",20837,1
44003,"Andover, OH",4275,1
44004,"Ashtabula, OH",31661,1
44010,"Austinburg, OH",1666,1
44011,"Avon, OH",24847,1
44012,"Avon Lake, OH",25206,1
44017,"Berea, OH",18611,1
44021,"Burton, OH",6347,1
44022,"Chagrin Falls, OH",17150,1
44023,"Chagrin Falls, OH",19075,1
44024,"Chardon, OH",23795,1
44026,"Chesterland, OH",10877,1
44028,"Columbia Station, OH",8931,1
44030,"Conneaut, OH",15868,1
44032,"Dorset, OH",1505,1
44035,"Elyria, OH",61921,1
44039,"North Ridgeville, OH",35630,1
44040,"Gates Mills, OH",3032,1
44041,"Geneva, OH",13910,1
44044,"Grafton, OH",14911,1
44045,"Grand River, OH",421,1
44046,"Huntsburg, OH",2187,1
44047,"Jefferson, OH",9156,1
44048,"Kingsville, OH",2178,1
44049,"Kipton, OH",194,1
44050,"Lagrange, OH",6724,1
44052,"Lorain, OH",29249,1
44053,"Lorain, OH",20735,1
44054,"Sheffield Lake, OH",12484,1
44055,"Lorain, OH",19331,1
44056,"Macedonia, OH",12156,1
44057,"North Madison, OH",19447,1
44060,"Mentor, OH",60360,1
44062,"Middlefield, OH",15085,1
44064,"Montville, OH",1618,1
44065,"Newbury, OH",4058,1
44067,"Northfield, OH",19995,1
44068,"North Kingsville, OH (PO Boxes)",226,1
44070,"North Olmsted, OH",32442,1
44072,"Novelty, OH",4583,1
44074,"Oberlin, OH",11957,1
44076,"Orwell, OH",5313,1
44077,"Painesville, OH",58253,1
44080,"Parkman, OH (PO Boxes)",153,1
44081,"Perry, OH",6930,1
44082,"Pierpont, OH",1511,1
44084,"Rock Creek, OH",3707,1
44085,"Rome, OH",3232,1
44086,"Thompson, OH",2221,1
44087,"Twinsburg, OH",22626,1
44089,"Vermilion, OH",15899,1
44090,"Wellington, OH",11085,1
44092,"Wickliffe, OH",16786,1
44093,"Williamsfield, OH",1454,1
44094,"Willoughby, OH",37634,1
44095,"Eastlake, OH",32616,1
44099,"Windsor, OH",2528,1
44101,"Cleveland, OH",624,1
44102,"Cleveland, OH",43347,1
44103,"Cleveland, OH",14469,1
44104,"Cleveland, OH",20202,1
44105,"Cleveland, OH",34100,1
44106,"Cleveland, OH",26608,1
44107,"Lakewood, OH",51109,1
44108,"Cleveland, OH",20005,1
44109,"Cleveland, OH",39121,1
44110,"Cleveland, OH",17617,1
44111,"Cleveland, OH",41045,1
44112,"East Cleveland, OH",18685,1
44113,"Cleveland, OH",20291,1
44114,"Cleveland, OH",7622,1
44115,"Cleveland, OH",8985,1
44116,"Rocky River, OH",21821,1
44117,"Euclid, OH",10533,1
44118,"Cleveland Heights, OH",40242,1
44119,"Cleveland, OH",12134,1
44120,"Cleveland, OH",34611,1
44121,"South Euclid, OH",32887,1
44122,"Shaker Heights, OH",36268,1
44123,"Euclid, OH",17620,1
44124,"Mayfield Heights, OH",40530,1
44125,"Garfield Heights, OH",29663,1
44126,"Fairview Park, OH",17235,1
44127,"Cleveland, OH",4179,1
44128,"Cleveland, OH",28146,1
44129,"Parma, OH",28803,1
44130,"Parma Heights, OH",50825,1
44131,"Seven Hills, OH",20664,1
44132,"Euclid, OH",14524,1
44133,"North Royalton, OH",31373,1
44134,"Parma, OH",38845,1
